date, price
2001/12/27,20.354799
2001/12/28,19.1686
2001/12/31,20.022699
2002/1/2,21.3986
2002/1/3,21.114
2002/1/4,19.975201
2002/1/7,21.3512
2002/1/8,22.8221
2002/1/9,23
2002/1/10,24.198
2002/1/11,24.5
2002/1/14,25.1469
2002/1/15,26.8076
2002/1/16,27.7565
2002/1/17,27.7565
2002/1/18,27.282101
2002/1/21,27.7565
2002/1/22,26.0959
2002/1/23,26.5704
2002/1/24,25.1469
2002/1/25,25.384199
2002/1/28,25.621401
2002/1/29,27.282101
2002/1/30,27.282101
2002/1/31,26.0959
2002/2/1,26.5704
2002/2/4,27.5193
2002/2/5,27.0448
2002/2/6,27.0448
2002/2/18,28.7055
2002/2/19,28
2002/2/20,27.282101
2002/2/21,26.5704
2002/2/22,26.5704
2002/2/25,26.8076
2002/2/26,26
2002/2/27,26
2002/3/1,26
2002/3/4,26
2002/3/5,26
2002/3/6,26
2002/3/7,26
2002/3/8,27.0448
2002/3/11,25.621401
2002/3/12,24.672501
2002/3/13,24.198
2002/3/14,24.4352
2002/3/15,23.1542
2002/3/18,23.2491
2002/3/19,24.672501
2002/3/20,24.672501
2002/3/21,25.1469
2002/3/22,26.0959
2002/3/25,25.621401
2002/3/26,26.5704
2002/3/27,26.0959
2002/3/28,26.0959
2002/3/29,26.5704
2002/4/1,25.8587
2002/4/2,25.384199
2002/4/3,25.1469
2002/4/4,25.384199
2002/4/8,25.1469
2002/4/9,25.1469
2002/4/10,25.8587
2002/4/11,27.5193
2002/4/12,29.4172
2002/4/15,28.942699
2002/4/16,28.7055
2002/4/17,27.0448
2002/4/18,26.8076
2002/4/19,25.8587
2002/4/22,26.0959
2002/4/23,25.8587
2002/4/24,25.621401
2002/4/25,24.672501
2002/4/26,24.672501
2002/4/29,23.7236
2002/4/30,23.296499
2002/5/2,23.4389
2002/5/3,23.5812
2002/5/6,25.1469
2002/5/7,24.4352
2002/5/8,24.198
2002/5/9,24.4352
2002/5/10,23.9608
2002/5/13,23.6761
2002/5/14,23.4863
2002/5/15,23.4863
2002/5/16,23.6761
2002/5/17,23.296499
2002/5/20,23.2491
2002/5/21,22.679701
2002/5/22,23.106701
2002/5/23,23.106701
2002/5/24,21.968
2002/5/27,22.2052
2002/5/28,20.686899
2002/5/29,20.2125
2002/5/30,19.738001
2002/5/31,19.690599
2002/6/3,20.9716
2002/6/4,19.880301
2002/6/5,20.022699
2002/6/6,20.686899
2002/6/7,19.975201
